1,2,3,4,5
116678,35086,17-8-2025,18:49,Finger
116679,350038,17-8-2025,19:59,Finger
116680,4,18-8-2025,07:45,Finger
116681,7,18-8-2025,08:05,Finger
116682,350038,18-8-2025,08:29,Finger
116683,350016,18-8-2025,08:37,Finger
116684,30,18-8-2025,08:44,Finger
116685,350081,18-8-2025,08:55,Finger
116686,31,18-8-2025,08:58,Finger
116687,350083,18-8-2025,08:58,Finger
116688,350080,18-8-2025,09:05,Finger
116689,350085,18-8-2025,09:15,Finger
116690,32,18-8-2025,09:23,Finger
116691,288,18-8-2025,10:07,Finger
116692,4,18-8-2025,17:12,Finger
116693,7,18-8-2025,17:12,Finger
116694,30,18-8-2025,17:50,Finger
116695,350080,18-8-2025,18:04,Finger
116696,350081,18-8-2025,18:05,Finger
116697,31,18-8-2025,18:16,Finger
116698,288,18-8-2025,18:48,Finger
116699,350083,18-8-2025,18:58,Finger
116700,350038,18-8-2025,19:54,Finger
116701,350016,18-8-2025,20:34,Finger
116702,32,18-8-2025,20:35,Finger
116703,350085,18-8-2025,20:36,Finger
116704,4,19-8-2025,07:54,Finger
116705,7,19-8-2025,07:56,Finger
116706,350038,19-8-2025,08:15,Finger
116707,30,19-8-2025,08:47,Finger
116708,350081,19-8-2025,08:59,Finger
116709,350080,19-8-2025,09:03,Finger
116710,31,19-8-2025,09:04,Finger
116711,350016,19-8-2025,09:04,Finger
116712,350083,19-8-2025,09:08,Finger
116713,32,19-8-2025,09:14,Finger
116714,350085,19-8-2025,09:14,Finger
116715,350087,19-8-2025,09:44,Finger
116716,288,19-8-2025,09:54,Finger
116717,7,19-8-2025,17:04,Finger
116718,350083,19-8-2025,17:33,Finger
116719,31,19-8-2025,18:00,Finger
116720,350081,19-8-2025,18:04,Finger
116721,350080,19-8-2025,18:04,Finger
116722,350085,19-8-2025,18:21,Finger
116723,32,19-8-2025,18:29,Finger
116724,350016,19-8-2025,18:44,Finger
116725,288,19-8-2025,18:48,Finger
116726,350087,19-8-2025,19:52,Finger
116727,350038,19-8-2025,19:52,Finger
116728,4,20-8-2025,07:45,Finger
116729,350080,20-8-2025,07:58,Finger
116730,7,20-8-2025,08:06,Finger
116731,350038,20-8-2025,08:23,Finger
116732,30,20-8-2025,08:35,Finger
116733,350016,20-8-2025,08:56,Finger
116734,31,20-8-2025,09:07,Finger
116735,32,20-8-2025,09:18,Finger
116736,350085,20-8-2025,09:36,Finger
116737,350081,20-8-2025,09:36,Finger
116738,350087,20-8-2025,09:49,Finger
116739,350085,20-8-2025,14:06,Finger
116740,288,20-8-2025,14:17,Finger
116741,4,20-8-2025,16:49,Finger
116742,350080,20-8-2025,17:00,Finger
116743,7,20-8-2025,17:15,Finger
116744,31,20-8-2025,17:55,Finger
116745,30,20-8-2025,18:38,Finger
116746,350081,20-8-2025,18:43,Finger
116747,350016,20-8-2025,18:46,Finger
116748,32,20-8-2025,18:46,Finger
116749,288,20-8-2025,18:48,Finger
116750,350038,20-8-2025,19:47,Finger
116751,350087,20-8-2025,19:51,Finger
116752,7,21-8-2025,07:48,Finger
116753,4,21-8-2025,07:51,Finger
116754,30,21-8-2025,08:41,Finger
116755,350038,21-8-2025,08:42,Finger
116756,350083,21-8-2025,08:59,Finger
116757,350080,21-8-2025,08:59,Finger
116758,350016,21-8-2025,09:02,Finger
116759,350081,21-8-2025,09:12,Finger
116760,31,21-8-2025,09:15,Finger
116761,32,21-8-2025,09:28,Finger
116762,350085,21-8-2025,09:37,Finger
116763,288,21-8-2025,09:52,Finger
116764,350087,21-8-2025,09:57,Finger
116765,4,21-8-2025,16:48,Finger
116766,7,21-8-2025,16:54,Finger
116767,350080,21-8-2025,18:02,Finger
116768,31,21-8-2025,18:12,Finger
116769,350081,21-8-2025,18:14,Finger
116770,350085,21-8-2025,18:43,Finger
116771,350016,21-8-2025,18:44,Finger
116772,288,21-8-2025,18:52,Finger
116773,350083,21-8-2025,19:19,Finger
116774,32,21-8-2025,19:27,Finger
116775,350087,21-8-2025,19:48,Finger
116776,350038,21-8-2025,19:52,Finger
116777,4,22-8-2025,07:56,Finger
116778,7,22-8-2025,08:01,Finger
116779,350038,22-8-2025,08:33,Finger
116780,30,22-8-2025,08:40,Finger
116781,350081,22-8-2025,08:43,Finger
116782,350083,22-8-2025,08:54,Finger
116783,31,22-8-2025,08:54,Finger
116784,350080,22-8-2025,08:58,Finger
116785,350016,22-8-2025,09:06,Finger
116786,32,22-8-2025,09:19,Finger
116787,350085,22-8-2025,09:21,Finger
116788,35086,22-8-2025,09:36,Finger
116789,350087,22-8-2025,09:41,Finger
116790,288,22-8-2025,09:48,Finger
116791,7,22-8-2025,17:10,Finger
116792,350038,22-8-2025,17:39,Finger
116793,350080,22-8-2025,18:01,Finger
116794,350081,22-8-2025,18:02,Finger
116795,350016,22-8-2025,18:30,Finger
116796,288,22-8-2025,18:38,Finger
116797,35086,22-8-2025,18:40,Finger
116798,32,22-8-2025,18:56,Finger
116799,31,22-8-2025,19:25,Finger
116800,350085,22-8-2025,19:49,Finger
116801,350083,22-8-2025,22:28,Finger
116802,350087,22-8-2025,22:29,Finger
116803,4,23-8-2025,07:50,Finger
116804,7,23-8-2025,07:52,Finger
116805,350038,23-8-2025,08:29,Finger
116806,30,23-8-2025,08:36,Finger
116807,350081,23-8-2025,08:52,Finger
116808,350016,23-8-2025,08:55,Finger
116809,350080,23-8-2025,08:58,Finger
116810,350085,23-8-2025,09:12,Finger
116811,31,23-8-2025,09:15,Finger
116812,350083,23-8-2025,09:23,Finger
116813,32,23-8-2025,09:27,Finger
116814,350087,23-8-2025,09:37,Finger
116815,35086,23-8-2025,09:37,Finger
116816,7,23-8-2025,13:01,Finger
116817,350083,23-8-2025,13:37,Finger
116818,4,23-8-2025,16:54,Finger
116819,350080,23-8-2025,17:59,Finger
116820,350081,23-8-2025,17:59,Finger
116821,31,23-8-2025,18:00,Finger
116822,350080,23-8-2025,18:08,Finger
116823,350016,23-8-2025,18:25,Finger
116824,288,23-8-2025,18:29,Finger
116825,350085,23-8-2025,18:31,Finger
116826,35086,23-8-2025,18:38,Finger
116827,32,23-8-2025,18:39,Finger
116828,32,23-8-2025,19:45,Finger
116829,350038,23-8-2025,20:03,Finger
116830,350087,23-8-2025,20:05,Finger
116831,350080,24-8-2025,07:42,Finger
116832,4,24-8-2025,08:09,Finger
116833,350081,24-8-2025,09:00,Finger
116834,350038,24-8-2025,09:04,Finger
116835,350083,24-8-2025,09:18,Finger
116836,35086,24-8-2025,09:25,Finger
116837,32,24-8-2025,09:45,Finger
116838,350087,24-8-2025,09:48,Finger
116839,4,24-8-2025,15:44,Finger
116840,350080,24-8-2025,16:58,Finger
116841,350081,24-8-2025,17:51,Finger
116842,350083,24-8-2025,18:19,Finger
116843,35086,24-8-2025,18:24,Finger
116844,32,24-8-2025,18:46,Finger
116845,350038,24-8-2025,19:50,Finger
116846,7,25-8-2025,07:54,Finger
116847,4,25-8-2025,07:54,Finger
116848,350038,25-8-2025,08:26,Finger
116849,30,25-8-2025,08:41,Finger
116850,350080,25-8-2025,08:53,Finger
116851,350016,25-8-2025,09:01,Finger
116852,350083,25-8-2025,09:10,Finger
116853,31,25-8-2025,09:18,Finger
116854,35086,25-8-2025,09:28,Finger
116855,350085,25-8-2025,09:31,Finger
116856,350081,25-8-2025,09:51,Finger
116857,288,25-8-2025,09:52,Finger
116858,4,25-8-2025,16:45,Finger
116859,7,25-8-2025,16:58,Finger
116860,30,25-8-2025,17:46,Finger
116861,350038,25-8-2025,17:47,Finger
116862,350080,25-8-2025,17:54,Finger
116863,350083,25-8-2025,18:22,Finger
116864,35086,25-8-2025,18:28,Finger
116865,350081,25-8-2025,18:51,Finger
116866,288,25-8-2025,18:52,Finger
116867,350016,25-8-2025,20:03,Finger
116868,6,25-8-2025,20:03,Finger
116869,350085,25-8-2025,20:04,Finger
116870,4,26-8-2025,07:49,Finger
116871,7,26-8-2025,07:51,Finger
116872,350038,26-8-2025,08:33,Finger
116873,30,26-8-2025,08:37,Finger
116874,350081,26-8-2025,08:42,Finger
116875,31,26-8-2025,09:00,Finger
116876,350083,26-8-2025,09:07,Finger
116877,32,26-8-2025,09:09,Finger
116878,350085,26-8-2025,09:26,Finger
116879,350016,26-8-2025,09:26,Finger
116880,288,26-8-2025,09:51,Finger
116881,350087,26-8-2025,09:51,Finger
116882,35086,26-8-2025,09:51,Finger
116883,4,26-8-2025,16:44,Finger
116884,7,26-8-2025,16:57,Finger
116885,350081,26-8-2025,17:51,Finger
116886,350038,26-8-2025,17:56,Finger
116887,31,26-8-2025,18:07,Finger
116888,350083,26-8-2025,18:22,Finger
116889,350016,26-8-2025,18:23,Finger
116890,35086,26-8-2025,18:32,Finger
116891,32,26-8-2025,18:37,Finger
